periods,gen 12875,gen 12876,gen 12877,gen 12878,gen 12879,gen 12880,gen 12881,gen 12882,gen 12883,gen 12884,gen 12885,gen 12886,gen 12893,gen 12896,gen 12897,gen 12898,gen 12899,gen 12910,gen 12911,gen 12912,gen 12913,gen 12914,gen 12918,gen 12919,gen 12922,gen 12925,gen 12926,gen 12927,gen 12928,gen 12929,gen 12933,gen 12934,gen 12935,gen 12936,gen 12937,gen 12947,gen 12948,gen 12949,gen 12950,gen 12951,gen 12952,gen 12953,gen 12954,gen 12958,gen 12959,gen 12960,gen 12961,gen 12962,gen 12963,gen 12964,gen 12965,gen 12966,gen 12967,gen 12968,gen 12969,gen 12970,gen 12971,gen 12972,gen 12973,gen 12974,gen 12975,gen 12976,gen 12979,gen 12980,gen 12981,gen 12982,gen 12983,gen 12984,gen 12985,gen 12986,gen 12987,gen 12988,gen 12992,gen 12993,gen 12994,gen 13000,gen 13025,gen 13034,gen 13035,gen 13040,gen 13041,gen 13042,gen 13043,gen 13054,gen 13055,gen 13056,gen 13079,gen 13080,gen 13084,gen 13085,gen 13116,gen 13161,gen 13162,gen 13163,gen 13164,gen 13165,gen 13166,gen 13237,gen 13238,gen 13239,gen 13240,gen 13308,gen 13309,gen 13310,gen 13311,gen 13312,gen 13313,gen 13384,gen 13405
1.0,108.032,179.2,179.2,0.0,102.144,92.16,128.0,142.336,128.0,75.52,62.413,76.8,61.44,0.0,0.0,72.96,82.176,76.8,59.136,102.4,78.08,69.632,143.63,156.088,250.6,0.0,0.0,0.0,102.707,80.55,0.0,143.2,56.922,5.12,76.8,0.0,0.0,70.451,189.184,76.8,143.2,118.016,149.644,123.392,175.542,175.542,175.542,125.527,125.527,125.527,125.527,41.216,76.8,87.142,102.298,127.488,119.04,89.6,89.088,143.2,102.4,128.0,51.2,63.59,63.59,102.4,61.44,0.0,100.864,69.12,64.768,89.088,51.814,102.4,144.346,143.2,128.88,134.608,202.771,143.916,107.4,143.272,145.348,144.346,179.0,117.0,136.5,97.5,0.0,107.4,118.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,115.628,191.8,191.8,0.0,109.326,98.64,137.0,152.344,137.0,80.83,66.801,82.2,65.76,0.0,0.0,78.09,87.954,82.2,63.294,109.6,83.57,74.528,1.935,163.064,0.0,0.0,0.0,0.0,109.929,84.15,0.0,0.0,0.0,5.48,82.2,0.0,0.0,75.405,202.486,82.2,149.6,126.314,156.332,132.068,183.387,183.387,183.387,134.353,134.353,134.353,134.353,44.114,82.2,93.27,109.49,136.452,127.41,95.9,95.352,149.6,109.6,137.0,54.8,68.062,68.062,109.6,65.76,0.0,107.956,73.98,69.322,95.352,55.458,109.6,150.797,149.6,134.64,140.624,211.834,150.348,112.2,149.675,151.844,150.797,187.0,126.0,147.0,105.0,0.0,112.2,123.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,117.316,194.6,194.6,0.0,110.922,100.08,139.0,154.568,139.0,82.01,67.776,83.4,66.72,0.0,0.0,79.23,89.238,83.4,64.218,111.2,84.79,75.616,121.965,132.544,212.8,0.0,0.0,0.0,111.534,68.4,0.0,121.6,48.336,5.56,83.4,0.0,0.0,76.506,205.442,83.4,121.6,128.158,127.072,133.996,149.063,149.063,149.063,136.315,136.315,136.315,136.315,44.758,83.4,94.631,111.089,138.444,129.27,97.3,96.744,121.6,111.2,139.0,55.6,69.055,69.055,111.2,66.72,0.0,109.532,75.06,70.334,96.744,56.267,111.2,122.573,121.6,109.44,114.304,172.186,122.208,91.2,121.661,123.424,122.573,152.0,151.8,177.1,126.5,0.0,91.2,100.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,112.674,186.9,186.9,0.0,106.533,96.12,133.5,148.452,133.5,78.765,65.095,80.1,64.08,0.0,0.0,76.095,85.707,80.1,61.677,106.8,81.435,72.624,111.132,120.772,193.9,0.0,0.0,0.0,107.12,62.325,0.0,110.8,44.043,5.34,80.1,0.0,0.0,73.478,197.313,80.1,110.8,123.087,115.786,128.694,135.824,135.824,135.824,130.921,130.921,130.921,130.921,42.987,80.1,90.887,106.693,132.966,124.155,93.45,92.916,110.8,106.8,133.5,53.4,66.323,66.323,106.8,64.08,0.0,105.198,72.09,67.551,92.916,54.041,106.8,111.686,110.8,99.72,104.152,156.893,111.354,83.1,110.855,112.462,111.686,138.5,176.4,205.8,147.0,0.0,83.1,91.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,106.344,176.4,176.4,0.0,100.548,90.72,126.0,140.112,126.0,74.34,61.438,75.6,60.48,0.0,0.0,71.82,80.892,75.6,58.212,100.8,76.86,68.544,114.342,124.26,199.5,0.0,0.0,0.0,101.102,64.125,0.0,114.0,45.315,5.04,75.6,0.0,0.0,69.35,186.228,75.6,114.0,116.172,119.13,121.464,139.747,139.747,139.747,123.566,123.566,123.566,123.566,40.572,75.6,85.781,100.699,125.496,117.18,88.2,87.696,114.0,100.8,126.0,50.4,62.597,62.597,100.8,60.48,0.0,99.288,68.04,63.756,87.696,51.005,100.8,114.912,114.0,102.6,107.16,161.424,114.57,85.5,114.057,115.71,114.912,142.5,190.2,221.9,158.5,0.0,85.5,94.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,96.216,159.6,159.6,0.0,90.972,82.08,114.0,126.768,114.0,67.26,55.586,68.4,54.72,0.0,0.0,64.98,73.188,68.4,52.668,91.2,69.54,62.016,117.552,127.748,205.1,0.0,0.0,0.0,91.474,65.925,0.0,117.2,46.587,4.56,68.4,106.476,67.108,62.746,168.492,68.4,117.2,105.108,122.474,109.896,143.67,143.67,143.67,111.798,111.798,111.798,111.798,36.708,68.4,77.611,91.109,113.544,106.02,79.8,79.344,117.2,91.2,114.0,45.6,56.635,56.635,91.2,54.72,0.0,89.832,61.56,57.684,79.344,46.147,91.2,118.138,117.2,105.48,110.168,165.955,117.786,87.9,117.259,118.958,118.138,146.5,165.6,193.2,138.0,0.0,87.9,97.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,84.4,140.0,140.0,0.0,79.8,72.0,100.0,111.2,100.0,59.0,48.76,60.0,48.0,0.0,0.0,57.0,64.2,60.0,46.2,80.0,61.0,54.4,115.546,125.568,201.6,144.0,0.0,144.0,80.24,64.8,0.0,115.2,45.792,4.0,60.0,104.659,166.234,55.04,147.8,60.0,115.2,92.2,120.384,96.4,141.218,141.218,141.218,98.068,98.068,98.068,98.068,32.2,60.0,68.08,79.92,99.6,93.0,70.0,69.6,115.2,80.0,100.0,40.0,49.68,49.68,80.0,48.0,0.0,78.8,54.0,50.6,69.6,40.48,80.0,116.122,115.2,103.68,108.288,163.123,115.776,86.4,115.258,116.928,116.122,144.0,132.0,154.0,110.0,53.304,86.4,95.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,84.822,140.7,140.7,0.0,80.199,72.36,100.5,111.756,100.5,59.295,49.004,60.3,48.24,0.0,0.0,57.285,64.521,60.3,46.431,80.4,61.305,54.672,91.072,98.972,158.9,113.5,0.0,113.5,80.641,51.075,30.69,90.8,36.093,4.02,60.3,82.492,131.024,55.315,148.539,60.3,90.8,92.661,94.886,96.882,111.307,111.307,111.307,98.558,98.558,98.558,98.558,32.361,60.3,68.42,80.32,100.098,93.465,70.35,69.948,90.8,80.4,100.5,40.2,49.928,49.928,80.4,48.24,0.0,79.194,54.27,50.853,69.948,40.682,80.4,91.526,90.8,81.72,85.352,128.573,91.254,68.1,90.845,92.162,91.526,113.5,104.4,121.8,87.0,102.15,68.1,75.182,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.92,0.92,0.92,2.3,3.0,2.5,1.14,0.283,0.566,2.5,0.456
9.0,99.592,165.2,165.2,1.82,94.164,84.96,118.0,131.216,118.0,69.62,57.537,70.8,56.64,41.86,41.86,67.26,75.756,70.8,54.516,94.4,71.98,64.192,56.569,61.476,98.7,70.5,33.707,70.5,94.683,31.725,19.063,56.4,22.419,4.72,70.8,51.239,81.385,64.947,174.404,70.8,56.4,108.796,58.938,113.752,69.138,69.138,69.138,115.72,115.72,115.72,115.72,37.996,70.8,80.334,94.306,117.528,109.74,82.6,82.128,56.4,94.4,118.0,47.2,58.622,58.622,94.4,56.64,7.207,92.984,63.72,59.708,82.128,47.766,94.4,56.851,56.4,50.76,53.016,79.862,56.682,42.3,56.428,57.246,56.851,70.5,82.2,95.9,68.5,63.45,42.3,46.699,15.18,1.98,15.18,15.18,0.917,2.686,2.25,13.34,13.34,13.34,22.54,29.4,24.5,11.172,2.773,5.547,24.5,9.576
10.0,122.802,203.7,203.7,6.94,116.109,104.76,145.5,161.796,145.5,85.845,70.946,87.3,69.84,159.62,159.62,82.935,93.411,87.3,67.221,116.4,88.755,79.152,21.264,23.108,37.1,26.5,14.352,26.5,116.749,11.925,7.166,21.2,8.427,5.82,87.3,19.26,30.592,80.083,215.049,87.3,21.2,134.151,22.154,140.262,25.988,25.988,25.988,142.689,142.689,142.689,142.689,46.851,87.3,99.056,116.284,144.918,135.315,101.85,101.268,21.2,116.4,145.5,58.2,72.284,72.284,116.4,69.84,27.482,114.654,78.57,73.623,101.268,58.898,116.4,21.37,21.2,19.08,19.928,30.019,21.306,15.9,21.211,21.518,21.37,26.5,63.0,73.5,52.5,23.85,15.9,17.554,34.5,4.5,34.5,34.5,2.085,6.105,5.199,30.82,30.82,30.82,39.56,51.6,43.0,19.608,4.868,9.735,43.0,16.416
11.0,105.922,175.7,175.7,7.98,100.149,90.36,125.5,139.556,125.5,74.045,61.194,75.3,60.24,183.54,183.54,71.535,80.571,75.3,57.981,100.4,76.555,68.272,16.048,17.44,28.0,20.0,10.832,20.0,100.701,9.0,5.408,16.0,6.36,5.02,75.3,14.536,23.088,69.075,185.489,75.3,16.0,115.711,16.72,120.982,19.614,19.614,19.614,123.075,123.075,123.075,123.075,40.411,75.3,85.44,100.3,124.998,116.715,87.85,87.348,16.0,100.4,125.5,50.2,62.348,62.348,100.4,60.24,31.601,98.894,67.77,63.503,87.348,50.802,100.4,16.128,16.0,14.4,15.04,22.656,16.08,12.0,16.008,16.24,16.128,20.0,73.8,86.1,61.5,18.0,12.0,13.248,72.68,9.48,72.68,72.68,4.392,12.861,7.062,41.86,41.86,41.86,76.36,99.6,83.0,37.848,9.396,18.791,83.0,25.764
12.0,89.042,147.7,147.7,10.16,84.189,75.96,105.5,117.316,105.5,62.245,51.442,63.3,50.64,233.68,233.68,60.135,67.731,63.3,48.741,84.4,64.355,57.392,4.814,5.232,8.4,6.0,3.25,6.0,84.653,2.7,1.622,4.8,1.908,4.22,63.3,4.361,6.926,58.067,155.929,63.3,4.8,97.271,5.016,101.702,5.884,5.884,5.884,103.462,103.462,103.462,103.462,33.971,63.3,71.824,84.316,105.078,98.115,73.85,73.428,4.8,84.4,105.5,42.2,52.412,52.412,84.4,50.64,40.234,83.134,56.97,53.383,73.428,42.706,84.4,4.838,4.8,4.32,4.512,6.797,4.824,3.6,4.802,4.872,4.838,6.0,60.6,70.7,50.5,5.4,3.6,3.974,68.54,8.94,68.54,68.54,4.142,12.129,10.709,63.48,63.48,63.48,71.3,93.0,77.5,35.34,8.773,17.546,77.5,36.48
13.0,70.474,116.9,116.9,12.56,66.633,60.12,83.5,92.852,83.5,49.265,40.715,50.1,40.08,288.88,288.88,47.595,53.607,50.1,38.577,66.8,50.935,45.424,0.802,0.872,1.4,1.0,0.542,1.0,67.0,0.45,0.27,0.8,0.318,3.34,50.1,0.727,1.154,45.958,123.413,50.1,0.8,76.987,0.836,80.494,0.981,0.981,0.981,81.887,81.887,81.887,81.887,26.887,50.1,56.847,66.733,83.166,77.655,58.45,58.116,0.8,66.8,83.5,33.4,41.483,41.483,66.8,40.08,49.738,65.798,45.09,42.251,58.116,33.801,66.8,0.806,0.8,0.72,0.752,1.133,0.804,0.6,0.8,0.812,0.806,1.0,54.0,63.0,45.0,0.9,0.6,0.662,76.36,9.96,76.36,76.36,4.615,13.512,17.227,102.12,102.12,102.12,83.26,108.6,90.5,41.268,10.245,20.489,90.5,40.812
14.0,49.796,82.6,82.6,12.9,47.082,42.48,59.0,65.608,59.0,34.81,28.768,35.4,28.32,296.7,296.7,33.63,37.878,35.4,27.258,47.2,35.99,32.096,2.006,2.18,3.5,2.5,1.354,2.5,47.342,1.125,0.676,2.0,0.795,2.36,35.4,1.817,2.886,32.474,87.202,35.4,2.0,54.398,2.09,56.876,2.452,2.452,2.452,57.86,57.86,57.86,57.86,18.998,35.4,40.167,47.153,58.764,54.87,41.3,41.064,2.0,47.2,59.0,23.6,29.311,29.311,47.2,28.32,51.084,46.492,31.86,29.854,41.064,23.883,47.2,2.016,2.0,1.8,1.88,2.832,2.01,1.5,2.001,2.03,2.016,2.5,54.0,63.0,45.0,2.25,1.5,1.656,73.6,9.6,73.6,73.6,4.448,13.024,18.857,111.78,111.78,111.78,101.66,132.6,110.5,50.388,12.509,25.017,110.5,34.884
15.0,35.448,58.8,58.8,11.54,33.516,30.24,42.0,46.704,42.0,24.78,20.479,25.2,20.16,265.42,265.42,23.94,26.964,25.2,19.404,33.6,25.62,22.848,8.024,8.72,14.0,10.0,5.416,10.0,33.701,4.5,2.704,8.0,3.18,1.68,25.2,7.268,11.544,23.117,62.076,25.2,8.0,38.724,8.36,40.488,9.807,9.807,9.807,41.189,41.189,41.189,41.189,13.524,25.2,28.594,33.566,41.832,39.06,29.4,29.232,8.0,33.6,42.0,16.8,20.866,20.866,33.6,20.16,45.698,33.096,22.68,21.252,29.232,17.002,33.6,8.064,8.0,7.2,7.52,11.328,8.04,6.0,8.004,8.12,8.064,10.0,47.4,55.3,39.5,9.0,6.0,6.624,61.18,7.98,61.18,61.18,3.697,10.826,16.839,99.82,99.82,99.82,87.4,114.0,95.0,43.32,10.754,21.508,95.0,25.308
16.0,25.742,42.7,42.7,9.04,24.339,21.96,30.5,33.916,30.5,17.995,14.872,18.3,14.64,207.92,207.92,17.385,19.581,18.3,14.091,24.4,18.605,16.592,16.048,17.44,28.0,20.0,10.832,20.0,24.473,9.0,5.408,16.0,6.36,1.22,18.3,14.536,23.088,16.787,45.079,18.3,16.0,28.121,16.72,29.402,19.614,19.614,19.614,29.911,29.911,29.911,29.911,9.821,18.3,20.764,24.376,30.378,28.365,21.35,21.228,16.0,24.4,30.5,12.2,15.152,15.152,24.4,14.64,35.798,24.034,16.47,15.433,21.228,12.346,24.4,16.128,16.0,14.4,15.04,22.656,16.08,12.0,16.008,16.24,16.128,20.0,41.4,48.3,34.5,18.0,12.0,13.248,36.8,4.8,36.8,36.8,2.224,6.512,10.942,64.86,64.86,64.86,55.66,72.6,60.5,27.588,6.849,13.697,60.5,16.872
17.0,21.522,35.7,35.7,4.98,20.349,18.36,25.5,28.356,25.5,15.045,12.434,15.3,12.24,114.54,114.54,14.535,16.371,15.3,11.781,20.4,15.555,13.872,20.461,22.236,35.7,25.5,13.811,25.5,20.461,11.475,6.895,20.4,8.109,1.02,15.3,18.533,29.437,14.035,37.689,15.3,20.4,23.511,21.318,24.582,25.007,25.007,25.007,25.007,25.007,25.007,25.007,8.211,15.3,17.36,20.38,25.398,23.715,17.85,17.748,20.4,20.4,25.5,10.2,12.668,12.668,20.4,12.24,19.721,20.094,13.77,12.903,17.748,10.322,20.4,20.563,20.4,18.36,19.176,28.886,20.502,15.3,20.41,20.706,20.563,25.5,36.6,42.7,30.5,22.95,15.3,16.891,12.42,1.62,12.42,12.42,0.751,2.198,4.19,24.84,24.84,24.84,22.08,28.8,24.0,10.944,2.717,5.434,24.0,5.472
18.0,23.632,39.2,39.2,0.58,22.344,20.16,28.0,31.136,28.0,16.52,13.653,16.8,13.44,13.34,13.34,15.96,17.976,16.8,12.936,22.4,17.08,15.232,24.072,26.16,42.0,30.0,16.248,30.0,22.467,13.5,8.112,24.0,9.54,1.12,16.8,21.804,34.632,15.411,41.384,16.8,24.0,25.816,25.08,26.992,29.42,29.42,29.42,27.459,27.459,27.459,27.459,9.016,16.8,19.062,22.378,27.888,26.04,19.6,19.488,24.0,22.4,28.0,11.2,13.91,13.91,22.4,13.44,2.297,22.064,15.12,14.168,19.488,11.334,22.4,24.192,24.0,21.6,22.56,33.984,24.12,18.0,24.012,24.36,24.192,30.0,43.2,50.4,36.0,27.0,18.0,19.872,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.46,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,22.788,37.8,37.8,0.0,21.546,19.44,27.0,30.024,27.0,15.93,13.165,16.2,12.96,0.0,0.0,15.39,17.334,16.2,12.474,21.6,16.47,14.688,39.719,43.164,69.3,49.5,26.809,49.5,21.665,22.275,13.385,39.6,15.741,1.08,16.2,35.977,57.143,14.861,39.906,16.2,39.6,24.894,41.382,26.028,48.544,48.544,48.544,26.478,26.478,26.478,26.478,8.694,16.2,18.382,21.578,26.892,25.11,18.9,18.792,39.6,21.6,27.0,10.8,13.414,13.414,21.6,12.96,0.0,21.276,14.58,13.662,18.792,10.93,21.6,39.917,39.6,35.64,37.224,56.074,39.798,29.7,39.62,40.194,39.917,49.5,43.2,50.4,36.0,44.55,29.7,32.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,9.706,16.1,16.1,0.0,9.177,8.28,11.5,12.788,11.5,6.785,5.607,6.9,5.52,0.0,0.0,6.555,7.383,6.9,5.313,9.2,7.015,6.256,71.414,77.608,124.6,89.0,48.202,89.0,9.228,40.05,24.066,71.2,28.302,0.46,6.9,64.685,102.742,6.33,16.997,6.9,71.2,10.603,74.404,11.086,87.281,87.281,87.281,11.278,11.278,11.278,11.278,3.703,6.9,7.829,9.191,11.454,10.695,8.05,8.004,71.2,9.2,11.5,4.6,5.713,5.713,9.2,5.52,0.0,9.062,6.21,5.819,8.004,4.655,9.2,71.77,71.2,64.08,66.928,100.819,71.556,53.4,71.236,72.268,71.77,89.0,27.6,32.2,23.0,80.1,53.4,58.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2.11,3.5,3.5,0.0,1.995,1.8,2.5,2.78,2.5,1.475,1.219,1.5,1.2,0.0,0.0,1.425,1.605,1.5,1.155,2.0,1.525,1.36,117.552,127.748,205.1,146.5,79.344,146.5,2.006,65.925,39.614,117.2,46.587,0.1,1.5,106.476,169.12,1.376,3.695,1.5,117.2,2.305,122.474,2.41,143.67,143.67,143.67,2.452,2.452,2.452,2.452,0.805,1.5,1.702,1.998,2.49,2.325,1.75,1.74,117.2,2.0,2.5,1.0,1.242,1.242,2.0,1.2,0.0,1.97,1.35,1.265,1.74,1.012,2.0,118.138,117.2,105.48,110.168,165.955,117.786,87.9,117.259,118.958,118.138,146.5,18.0,21.0,15.0,131.85,87.9,97.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.266,2.1,2.1,0.0,1.197,1.08,1.5,1.668,1.5,0.885,0.731,0.9,0.72,0.0,0.0,0.855,0.963,0.9,0.693,1.2,0.915,0.816,158.474,172.22,276.5,197.5,106.966,197.5,1.204,88.875,53.404,0.0,3.569,0.06,0.9,143.543,227.994,0.826,2.217,0.9,158.0,1.383,165.11,1.446,193.684,193.684,193.684,1.471,1.471,1.471,1.471,0.483,0.9,1.021,1.199,1.494,1.395,1.05,1.044,158.0,1.2,1.5,0.6,0.745,0.745,1.2,0.72,0.0,1.182,0.81,0.759,1.044,0.607,1.2,159.264,158.0,142.2,148.52,223.728,158.79,118.5,158.079,160.37,159.264,197.5,23.4,27.3,19.5,177.75,118.5,130.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.965,205.356,80.529,235.5,127.547,235.5,0.0,105.975,63.679,0.0,0.0,0.0,0.0,171.161,271.861,0.0,0.0,0.0,188.4,0.0,196.878,0.0,230.95,230.95,230.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.907,188.4,169.56,177.096,266.774,189.342,141.3,188.494,191.226,189.907,235.5,35.4,41.3,29.5,211.95,141.3,155.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.028,251.967,261.5,141.628,261.5,0.0,117.675,70.71,0.0,0.0,0.0,0.0,190.058,301.876,0.0,0.0,0.0,209.2,0.0,218.614,0.0,256.448,256.448,256.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.874,209.2,188.28,196.648,296.227,210.246,156.9,209.305,212.338,210.874,261.5,36.6,42.7,30.5,235.35,156.9,173.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
